Analysis Questions,Significant,Link,,
Wish Early Diag = Ethical Stand,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.eqljyfy0p84v,,
Screening(Yes[Definitely Yes] / No [Others]) = fif_diag_firstsigns,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.n1brhzwuiesl,,
"Screening(Yes[Definitely Yes] / No [Others]) = tfa_behavior_age",Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.lw6ez3adjeie,,
tfa_interact_positive = Autism Family,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.tuc71hplns98,,
"tfa_gain_vs_loss = Autism Family",Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.nubalxi7cm0,,
tfa_regret = Autism Family,Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.svg8uex8l7ic,,
"tfa_regret = Accuracy Score",Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.wbk5n9gi1qlk,,
tfa_interact_negative = Autism Family ,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.r9jg8l5j5w9q,,
tfa_gain_vs_loss_neg  = Autism Family,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.h8lnjlb10g5m,,
"tfa_regret_pos = Autism Family",Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.fqudrdcyjfz1,,
,,,, 
tfa_test_future = Autism Family,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.1b6jjh5i9vwj,tfa_test_future = At what age would you choose to do the test?,
tfa_test_future = Hidden scores,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.55m5tmt53le5,"Hidden,  conformity_val, score, #1
Hidden,  tradition_val, score, #2
Hidden,  benevolence_val, score, #3
Hidden,  universalism_val, score, #4
Hidden,  self_direction_val, score, #5
Hidden,  stimulation_val, score, #6
Hidden,  hedonism_val, score, #7
Hidden,  achievement_val, score, #8
Hidden,  power_val, score, #9
Hidden,  security_val, score, #10",
tfa_future = Autism Family,Not Significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.4adzxhrjbvqi,"tfa_future = For you to feel okay doing the baby autismscreening test, how sure/certain would thetest need to be in predicting how much helpyour child will need?",
tfa_future = Hidden Scores,Only Conformity value predicts test certainty,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.lnrz315dn6x5,,
"tfa_difficult = Autism Household
tfa_difficult = Hidden values","Not Significant
Among the hidden scores, only conformity is significant.",https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.6vuvgfnnz4k,"tfa_difficult = ""How difficult would it be to spend an extra 15-30 minutes to complete this autism screening test?""",
tfa_doable = hidden scores,Only Power_value is significant,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.xb9qx2go99lm,"""How doable would it be?""",
,,,,
tfa_scan_any(Ethical Stand) = Hidden Scores,"Self-Direction and Security scores are significant, other hidden scores are not significant",https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.9ay2plxzb87,,
Hidden Scores = Autism Family,"Self_direction, Hedonism, Stimulation, Achievement significant",https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.11ecrj8jjfqj,,
tfa_scan_mine (Moral Stand) = tfa_scan_any(Ethical Stand),Yes,https://docs.google.com/document/d/1xUtNDSAoyzhP9pwoxSbViKLtI9wzOF7dtNteFk1wWQo/edit?tab=t.kp6cdm80zxub,,
,,,,
Visualizations,,,,
False-positive and False-negative scenarios and connection with ASD/non-ASD households,,,,
"Response distribution between Autism Slider questions(genetics, vaccines etc)  and how they would respond to Screening = tfa_free_screen questions",,,,
How ASD/Non-ASD households respond to different Autism tests (EEG/MRI/tfa_video/saliva test/heart-rate/bolld-test),,,,
