record_id,project_id,source_project,tier,tier_label,tier1_hit_count,tier1_rule_combo,tier1_triggered,soft_triggered,all_rules_triggered,total_rules_fired,giftcard_decision,classification,sub_classification
38,4797,clean_4797,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
39,4797,clean_4797,3,Uncertain,0,none,none,R4,R4,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
59,4797,clean_4797,3,Uncertain,0,none,none,R3,R3,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
92,4797,clean_4797,3,Uncertain,0,none,none,R3,R3,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
98,4797,clean_4797,3,Uncertain,0,none,none,R3,R3,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
101,4797,clean_4797,1,Confirmed invalid,1,R9,R9,none,R9,1,manual_review,Needs Review,Needs Review — Single Hard Flag
143,4797,clean_4797,2,High suspicion,0,none,none,"R3, R4","R3, R4",2,manual_review,Needs Review,Needs Review — Multiple Soft Flags
18,4797,clean_4797,2,High suspicion,0,none,none,"R4, R6","R4, R6",2,manual_review,Needs Review,Needs Review — Multiple Soft Flags
40,4797,clean_4797,2,High suspicion,0,none,none,"R3, R6","R3, R6",2,manual_review,Needs Review,Needs Review — Multiple Soft Flags
89,4797,clean_4797,1,Confirmed invalid,1,R9,R9,none,R9,1,manual_review,Needs Review,Needs Review — Single Hard Flag
1,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
10,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
100,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
102,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
103,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
104,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
105,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
106,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
107,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
108,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
109,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
11,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
110,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
111,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
112,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
113,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
114,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
115,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
116,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
117,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
118,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
119,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
12,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
120,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
121,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
122,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
123,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
124,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
125,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
126,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
127,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
129,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
13,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
130,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
132,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
133,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
134,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
136,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
137,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
138,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
139,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
140,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
141,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
142,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
144,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
145,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
146,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
147,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
148,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
149,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
150,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
151,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
152,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
153,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
154,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
155,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
156,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
158,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
159,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
16,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
160,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
162,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
163,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
164,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
165,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
166,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
167,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
169,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
17,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
170,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
171,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
173,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
174,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
176,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
177,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
19,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
2,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
21,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
22,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
23,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
24,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
25,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
26,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
27,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
28,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
29,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
3,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
30,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
31,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
32,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
35,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
37,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
4,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
41,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
42,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
43,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
44,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
45,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
46,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
47,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
48,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
49,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
5,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
50,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
51,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
52,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
53,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
54,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
55,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
56,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
57,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
58,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
6,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
60,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
61,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
62,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
63,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
64,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
65,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
66,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
67,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
68,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
69,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
7,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
70,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
71,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
72,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
73,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
74,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
75,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
76,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
77,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
78,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
79,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
8,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
80,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
81,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
82,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
83,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
84,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
85,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
86,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
87,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
88,4797,clean_4797,4,Pass,0,none,none,none,R10,1,auto_eligible,Real Caregiver,Real Caregiver
9,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
90,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
91,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
93,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
94,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
95,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
96,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
97,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
99,4797,clean_4797,4,Pass,0,none,none,none,none,0,auto_eligible,Real Caregiver,Real Caregiver
1026,4581,dirty_4581,1,Confirmed invalid,3,R1+R2+R8,"R1, R2, R8","R3, R4, R6","R1, R2, R3, R4, R6, R8",6,do_not_pay_pending_adjudication,Confirmed Bot,Confirmed Bot
120,4581,dirty_4581,1,Confirmed invalid,3,R1+R2+R8,"R1, R2, R8","R3, R4, R6","R1, R2, R3, R4, R6, R8",6,do_not_pay_pending_adjudication,Confirmed Bot,Confirmed Bot
1678,4581,dirty_4581,1,Confirmed invalid,2,R2+R8,"R2, R8","R3, R6","R2, R3, R6, R8",4,do_not_pay_pending_adjudication,Confirmed Bot,Confirmed Bot
1774,4581,dirty_4581,1,Confirmed invalid,2,R2+R8,"R2, R8","R3, R4, R6","R2, R3, R4, R6, R8",5,do_not_pay_pending_adjudication,Confirmed Bot,Confirmed Bot
182,4581,dirty_4581,1,Confirmed invalid,2,R2+R8,"R2, R8","R3, R4, R6","R2, R3, R4, R6, R8",5,do_not_pay_pending_adjudication,Confirmed Bot,Confirmed Bot
571,4581,dirty_4581,1,Confirmed invalid,3,R1+R2+R8,"R1, R2, R8","R3, R4, R6","R1, R2, R3, R4, R6, R8",6,do_not_pay_pending_adjudication,Confirmed Bot,Confirmed Bot
101,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1013,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1014,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
102,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1020,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1021,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1028,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
103,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1035,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1037,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
104,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1046,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1049,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1050,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1052,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1054,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1055,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1057,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1058,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1061,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1062,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1063,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
107,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1070,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1071,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1074,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1075,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1079,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
108,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1081,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1085,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1086,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1087,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1088,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1090,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1091,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1093,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
110,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1108,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
111,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1110,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1112,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1117,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1122,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1124,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1125,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1126,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1129,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
113,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
114,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1140,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1147,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1150,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
1152,4581,dirty_4581,3,Uncertain,0,none,none,R6,R6,1,eligible_low_risk_review,Likely Real Caregiver,Likely Real Caregiver
